t: 18:48:55; c: noise ; v: 9; m: Opening device, attempt number: ; r: 1
t: 18:48:55; c: noise ; v: 9; m: Getting device list. ; r: 0
t: 18:48:55; c: noise ; v: 9; m: Number of devices found: ; r: 15
t: 18:48:55; c: noise ; v: 9; m: Opening device with vid: ; r: 1204
t: 18:48:55; c: noise ; v: 9; m: Opening device with pid: ; r: 34323
t: 18:48:55; c: noise ; v: 9; m: Device identified.; r: 0
t: 18:48:55; c: noise ; v: 9; m: Matching idx; r: 0
t: 18:48:55; c: noise ; v: 9; m: Returned value from libusb_open: ; r: 0
t: 18:48:55; c: noise ; v: 9; m: Checking kernel driver is free; r: 0
t: 18:48:55; c: note  ; v: 5; m: Kernel driver active, detaching it: ; r: 1
t: 18:48:55; c: noise ; v: 9; m: Claiming interface; r: 0
t: 18:48:55; c: noise ; v: 9; m: Setting alternative interface; r: 0
t: 18:48:55; c: noise ; v: 9; m: Freeing device list; r: 0
t: 18:48:55; c: noise ; v: 9; m: Attempts to successfully open device: ; r: 1
t: 18:48:55; c: note  ; v: 5; m: Programming the micro-controller RAM; r: 0
t: 18:48:55; c: error ; v: 1; m: Failed to open file.; r: 2
t: 18:48:55; c: error ; v: 1; m: configureFX2, cannot configure device; r: 2
t: 18:48:55; c: noise ; v: 9; m: Device closed; r: 0
t: 18:48:55; c: noise ; v: 9; m: Destructor called; r: 0
t: 18:48:55; c: noise ; v: 9; m: Device not opened (no handle).; r: 0
t: 18:49:12; c: noise ; v: 9; m: Opening device, attempt number: ; r: 1
t: 18:49:12; c: noise ; v: 9; m: Getting device list. ; r: 0
t: 18:49:12; c: noise ; v: 9; m: Number of devices found: ; r: 15
t: 18:49:12; c: noise ; v: 9; m: Opening device with vid: ; r: 1204
t: 18:49:12; c: noise ; v: 9; m: Opening device with pid: ; r: 34323
t: 18:49:12; c: noise ; v: 9; m: Device identified.; r: 0
t: 18:49:12; c: noise ; v: 9; m: Matching idx; r: 0
t: 18:49:12; c: noise ; v: 9; m: Returned value from libusb_open: ; r: 0
t: 18:49:12; c: noise ; v: 9; m: Checking kernel driver is free; r: 0
t: 18:49:12; c: noise ; v: 9; m: Claiming interface; r: 0
t: 18:49:12; c: noise ; v: 9; m: Setting alternative interface; r: 0
t: 18:49:12; c: noise ; v: 9; m: Freeing device list; r: 0
t: 18:49:12; c: noise ; v: 9; m: Attempts to successfully open device: ; r: 1
t: 18:49:12; c: note  ; v: 5; m: Programming the micro-controller RAM; r: 0
t: 18:49:12; c: error ; v: 1; m: Failed to open file.; r: 2
t: 18:49:12; c: error ; v: 1; m: configureFX2, cannot configure device; r: 2
t: 18:49:12; c: noise ; v: 9; m: Device closed; r: 0
t: 18:49:12; c: noise ; v: 9; m: Destructor called; r: 0
t: 18:49:12; c: noise ; v: 9; m: Device not opened (no handle).; r: 0
t: 18:49:29; c: noise ; v: 9; m: Opening device, attempt number: ; r: 1
t: 18:49:29; c: noise ; v: 9; m: Getting device list. ; r: 0
t: 18:49:29; c: noise ; v: 9; m: Number of devices found: ; r: 15
t: 18:49:29; c: noise ; v: 9; m: Opening device with vid: ; r: 1204
t: 18:49:29; c: noise ; v: 9; m: Opening device with pid: ; r: 34323
t: 18:49:29; c: noise ; v: 9; m: Device identified.; r: 0
t: 18:49:29; c: noise ; v: 9; m: Matching idx; r: 0
t: 18:49:29; c: noise ; v: 9; m: Returned value from libusb_open: ; r: 0
t: 18:49:29; c: noise ; v: 9; m: Checking kernel driver is free; r: 0
t: 18:49:29; c: noise ; v: 9; m: Claiming interface; r: 0
t: 18:49:29; c: noise ; v: 9; m: Setting alternative interface; r: 0
t: 18:49:29; c: noise ; v: 9; m: Freeing device list; r: 0
t: 18:49:29; c: noise ; v: 9; m: Attempts to successfully open device: ; r: 1
t: 18:49:29; c: note  ; v: 5; m: Programming the micro-controller RAM; r: 0
t: 18:49:29; c: noise ; v: 9; m: Device closed; r: 0
t: 18:49:29; c: noise ; v: 9; m: Opening device, attempt number: ; r: 1
t: 18:49:29; c: noise ; v: 9; m: Getting device list. ; r: 0
t: 18:49:29; c: noise ; v: 9; m: Number of devices found: ; r: 15
t: 18:49:29; c: noise ; v: 9; m: Opening device with vid: ; r: 1204
t: 18:49:29; c: noise ; v: 9; m: Opening device with pid: ; r: 34323
t: 18:49:29; c: noise ; v: 9; m: Device identified.; r: 0
t: 18:49:29; c: noise ; v: 9; m: Matching idx; r: 0
t: 18:49:29; c: noise ; v: 9; m: Returned value from libusb_open: ; r: 0
t: 18:49:29; c: noise ; v: 9; m: Checking kernel driver is free; r: 0
t: 18:49:29; c: noise ; v: 9; m: Claiming interface; r: 0
t: 18:49:29; c: noise ; v: 9; m: Setting alternative interface; r: 0
t: 18:49:29; c: noise ; v: 9; m: Freeing device list; r: 0
t: 18:49:29; c: noise ; v: 9; m: Attempts to successfully open device: ; r: 1
t: 18:49:29; c: note  ; v: 5; m: Micro-controller RAM successfully programmed!; r: 0
t: 18:49:29; c: noise ; v: 9; m: Device closed; r: 0
t: 18:49:29; c: noise ; v: 9; m: Destructor called; r: 0
t: 18:49:29; c: noise ; v: 9; m: Device not opened (no handle).; r: 0
t: 18:50:30; c: noise ; v: 9; m: Opening device, attempt number: ; r: 1
t: 18:50:30; c: noise ; v: 9; m: Getting device list. ; r: 0
t: 18:50:30; c: noise ; v: 9; m: Number of devices found: ; r: 15
t: 18:50:30; c: noise ; v: 9; m: Opening device with vid: ; r: 1204
t: 18:50:30; c: noise ; v: 9; m: Opening device with pid: ; r: 34323
t: 18:50:30; c: noise ; v: 9; m: Device identified.; r: 0
t: 18:50:30; c: noise ; v: 9; m: Matching idx; r: 0
t: 18:50:30; c: noise ; v: 9; m: Returned value from libusb_open: ; r: 0
t: 18:50:30; c: noise ; v: 9; m: Checking kernel driver is free; r: 0
t: 18:50:30; c: noise ; v: 9; m: Claiming interface; r: 0
t: 18:50:30; c: noise ; v: 9; m: Setting alternative interface; r: 0
t: 18:50:30; c: noise ; v: 9; m: Freeing device list; r: 0
t: 18:50:30; c: noise ; v: 9; m: Attempts to successfully open device: ; r: 1
t: 18:50:30; c: note  ; v: 5; m: Programming the micro-controller EEPROM; r: 0
t: 18:50:30; c: noise ; v: 9; m: Writing to EEPROM, number of bytes: ; r: 64
